17.txt,4,0.350020025,5,0.853804023,TRUE,0.904270546,,,17.txt,0.735645013,0.896285795,0.84758954,0.813361388,0.947567339,0.904270546,1,7,1,4,2,1
18.txt,8,0.610148537,4,0.528500502,FALSE,0.843908048,,,18.txt,0.659869089,0.517986215,0.885502555,0.807288889,0.33949734,0.843908048,6,4,2,3,4,1
19.txt,1,0.853673601,5,0.898310782,TRUE,0.93058297,,,19.txt,1,1,1,1,0.870262683,0.93058297,1,1,1,1,2,3
20.txt,4,0.829040039,5,0.857178121,TRUE,0.660131323,,,20.txt,0.913897089,0.952799381,0.963631846,0.968625581,0.794569937,0.660131323,1,2,2,4,3,3
,3.3,0.7268155,4.45,0.759420254,,,,,,0.874262709,0.88396123,0.865330468,0.861565061,0.820038914,0.86743334,1.85,1.95,1.95,1.9,1.85,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,log_name,IT3,tech,no tech,IT3,,,,,,
,,,,,,,,,,,01.txt,0.838812785,0.765280643,0.838812785,1,2,1,,FALSE,FALSE,
,,,,,,,,,,,02.txt,0.860771531,0.758809001,0.878525608,4,1,1,,FALSE,TRUE,
,,,,,,,,,,,03.txt,0.942307692,0.772916765,0.842315008,1,2,1,,FALSE,FALSE,
,,,,,,,,,,,04.txt,0.847298272,0.852302379,0.829520717,2,2,1,,TRUE,FALSE,
,,,,,,,,,,,05.txt,0.84345201,0.926433581,0.820861678,1,1,1,,TRUE,FALSE,
,,,,,,,,,,,06.txt,0.897116612,0.959132611,0.959132611,2,1,3,,TRUE,TRUE,
,,,,,,,,,,,07.txt,0.90939545,0.878657278,0.934701817,1,1,1,,FALSE,TRUE,
,,,,,,,,,,,08.txt,0.836140888,0.978723404,0.836140888,1,1,1,,TRUE,FALSE,
,,,,,,,,,,,09.txt,0.862706335,0.958175564,0.952442794,2,2,1,,TRUE,TRUE,
,,,,,,,,,,,10.txt,0.94643239,0.908241559,0.88362941,1,1,3,,FALSE,FALSE,
,,,,,,,,,,,11.txt,0.856180403,0.587587263,0.76959931,2,2,1,,FALSE,FALSE,
,,,,,,,,,,,12.txt,0.845823984,0.891478298,0.925274926,3,1,1,,TRUE,TRUE,
,,,,,,,,,,,13.txt,0.532189371,1,0.828818615,2,2,2,,TRUE,TRUE,
,,,,,,,,,,,14.txt,0.832393644,0.450184502,0.802005013,1,5,1,,FALSE,FALSE,
,,,,,,,,,,,15.txt,0.949671772,0.923076923,0.976744186,5,1,1,,FALSE,TRUE,
,,,,,,,,,,,16.txt,0.809192282,0.837881204,0.93124854,4,1,1,,TRUE,TRUE,
,,,,,,,,,,,17.txt,0.84758954,0.947567339,0.904270546,1,2,1,,TRUE,TRUE,
,,,,,,,,,,,18.txt,0.885502555,0.33949734,0.843908048,2,4,1,,FALSE,FALSE,
,,,,,,,,,,,19.txt,1,0.870262683,0.93058297,1,2,3,,FALSE,FALSE,
,,,,,,,,,,,20.txt,0.963631846,0.794569937,0.660131323,2,3,3,,FALSE,FALSE,
,,,,,,,,,,,,0.865330468,0.820038914,0.86743334,1.95,1.85,1.45,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.87,0.83,0.87,,,,,,,
